model_name,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_mae_mean,train_r2_mean,fit_time_mean,overall_score
XGBoost,4.474082946777344,0.05521185554815423,6.094657325744629,0.10767307454265326,0.2739784836769104,0.016235299891319627,3.5230595588684084,0.5640785336494446,0.4748690128326416,0.9999999998028394
Gradient Boosting,4.501642783344353,0.049321301417475504,6.117947071952056,0.10105659183047778,0.26844306572998533,0.013746598773200556,3.8198929233214094,0.4960028255332515,7.411106538772583,0.9609406377782412
Random Forest,4.497769236486615,0.04999686734242487,6.124495883173826,0.11445110197532453,0.2668258653387762,0.018560178016448044,3.735553564782646,0.532437290684405,7.566299104690552,0.9568407833216059
Ridge Regression,4.81636464668328,0.04374752922589048,6.454877153373685,0.08521028972979727,0.18565250317555976,0.009800270063472682,4.7875474062028305,0.19611467350603426,0.035068416595458986,0.44112939594086137
Linear Regression,4.81609850498167,0.043296356326304915,6.455205797088327,0.08450585036393303,0.18556666675753747,0.009848412773026586,4.787051988186407,0.19616220553068842,0.0727081298828125,0.44095765518823354
Lasso Regression,5.0273345249407395,0.05442080455073408,6.767328359503592,0.08487538376082214,0.10491165331909416,0.008976783319846658,5.02272997420138,0.10707898607955264,0.10394454002380371,1.0980357364095046e-10
